specification,outcome,outcome_label,exposure,n,clusters,coefficient,standard_error_crv3,t_value,df,p_value_t_g_minus_1,ci_low,ci_high,outcome_mean,exposure_mean,wild_bootstrap_type,wild_weights,wild_reps,wild_p_value
0.10% materiality,fossil_contraction_m010,fossil_contraction_m010,issuance_bp_gdp,361,19,-0.0015386039183369372,0.0009421283786865224,-1.633114926950823,18,0.11981430716843576,-0.0035179421938560072,0.00044073435718213275,0.4099722991689751,15.282921720366296,33,webb,9999.0,0.12141214121412142
0.25% materiality,fossil_contraction_m025,fossil_contraction_m025,issuance_bp_gdp,361,19,-0.0016329883500501548,0.0009137191722655208,-1.7871884487235201,18,0.0907583693686715,-0.0035526410976535854,0.00028666439755327573,0.3850415512465374,15.282921720366296,33,webb,9999.0,0.0851085108510851
Active-issuance indicator,fossil_contraction,Fossil contraction,recorded_positive_issuance,361,19,0.09503872723466618,0.10016342233923488,0.948836661279281,18,0.35526992252759615,-0.11539681438380396,0.30547426885313633,0.42382271468144045,0.5152354570637119,,,,
One-year lag,fossil_contraction,Fossil contraction,lag_issuance_bp_gdp,342,19,-0.00029819615956295056,0.0013446399678221626,-0.22176654472492144,18,0.8269921611832812,-0.0031231799041495324,0.002526787585023631,0.4327485380116959,13.708728761640298,,,,
Per-capita scale,fossil_contraction,Fossil contraction,issuance_100usd_per_capita,361,19,-0.03161040920347921,0.017096894120881962,-1.8488977576851575,18,0.08096661507104352,-0.06752965088170756,0.004308832474749134,0.42382271468144045,0.5924987328953376,,,,
2016-2024,fossil_contraction,Fossil contraction,issuance_bp_gdp,171,19,-0.0017980994016791566,0.0008756374275189328,-2.0534748117996346,18,0.054849447048934644,-0.003637745372413647,4.154656905533383e-05,0.47953216374269003,31.334728619598376,,,,
Exclude pre-entry years,fossil_contraction,Fossil contraction,issuance_bp_gdp,201,19,-0.001761019982487249,0.0010876769338006396,-1.6190653012505887,18,0.12282104129451551,-0.004046144425370805,0.0005241044603963071,0.5373134328358209,27.44843154752355,,,,
