diagnostic,exposure,effect_unit,n,clusters,coefficient,standard_error_crv3,df,ci_low,ci_high,p_value,effect_pp,ci_low_pp,ci_high_pp
Baseline,issuance_bp_gdp,10 basis points,361,19,-0.0015560598815907156,0.0009408891413702064,18,-0.0035327946161188483,0.0004206748529374171,0.11549768644443764,-1.5560598815907156,-3.5327946161188484,0.4206748529374171
Inverse-hyperbolic-sine exposure,issuance_asinh,One asinh unit,361,19,-0.01153446957422054,0.03200895412943993,18,-0.07878278678982528,0.05571384764138421,0.7227782600597491,-1.153446957422054,-7.878278678982528,5.57138476413842
Upper-tail winsorized at 99th percentile,issuance_winsor99,10 basis points,361,19,-0.0015724507498336513,0.001228424047670777,18,-0.004153273906347295,0.0010083724066799918,0.21677748712910044,-1.5724507498336513,-4.1532739063472945,1.0083724066799917
Upper 1% trimmed,issuance_bp_gdp,10 basis points,357,19,-0.00035032323982737,0.0013834673322027807,18,-0.003256880250005662,0.0025562337703509226,0.8029667748581893,-0.35032323982737,-3.256880250005662,2.5562337703509224
Five largest observations removed,issuance_bp_gdp,10 basis points,356,19,7.861340110571136e-05,0.0016978185984538171,18,-0.003488371112717062,0.003645597914928485,0.9635789207622598,0.07861340110571137,-3.488371112717062,3.645597914928485
