specification,outcome,outcome_label,exposure,n,clusters,coefficient,standard_error_crv3,t_value,df,p_value_t_g_minus_1,ci_low,ci_high,outcome_mean,exposure_mean,wild_bootstrap_type,wild_weights,wild_reps,wild_p_value
0.10% materiality,fossil_contraction_m010,fossil_contraction_m010,issuance_bp_gdp,361,19,-0.0015386039183369372,0.0009421283786865224,-1.633114926950823,18,0.11981430716843576,-0.0035179421938560072,0.00044073435718213275,0.4099722991689751,15.282921720366296,,,,
0.10% materiality,renewable_addition_m010,renewable_addition_m010,issuance_bp_gdp,361,19,-0.0038607357664300376,0.0006718719898119787,-5.7462371180415674,18,1.9029056938232714e-05,-0.005272286438046626,-0.002449185094813449,0.6869806094182825,15.282921720366296,,,,
0.10% materiality,coal_contraction_m010,coal_contraction_m010,issuance_bp_gdp,342,18,-0.001510751432612513,0.0009253937121494681,-1.6325499220255115,17,0.12094709674702034,-0.00346316150213446,0.0004416586369094342,0.4590643274853801,16.05236750974825,,,,
0.10% materiality,unoffset_coal_contraction_m010,unoffset_coal_contraction_m010,issuance_bp_gdp,342,18,-0.0010285083464610506,0.0007885027471000192,-1.3043814371525424,17,0.20948782263187007,-0.0026921037254570342,0.000635087032534933,0.195906432748538,16.05236750974825,,,,
0.25% materiality,fossil_contraction_m025,fossil_contraction_m025,issuance_bp_gdp,361,19,-0.0016329883500501548,0.0009137191722655208,-1.7871884487235201,18,0.0907583693686715,-0.0035526410976535854,0.00028666439755327573,0.3850415512465374,15.282921720366296,,,,
0.25% materiality,renewable_addition_m025,renewable_addition_m025,issuance_bp_gdp,361,19,-0.003615058613571759,0.0007593498516725935,-4.7607286754702,18,0.00015624176128276661,-0.005210393453204474,-0.002019723773939044,0.6454293628808865,15.282921720366296,,,,
0.25% materiality,coal_contraction_m025,coal_contraction_m025,issuance_bp_gdp,342,18,-0.001657535431087123,0.0008413179071995346,-1.9701653999075128,17,0.06533164974657994,-0.003432561057606825,0.00011749019543257902,0.41812865497076024,16.05236750974825,,,,
0.25% materiality,unoffset_coal_contraction_m025,unoffset_coal_contraction_m025,issuance_bp_gdp,342,18,-0.000792878902661365,0.0007125711672619429,-1.1127013540387902,17,0.28132411622798287,-0.0022962726516654814,0.0007105148463427511,0.1783625730994152,16.05236750974825,,,,
