metric,label,point_estimate,ci_low,ci_high,replications,seed,eligible_countries
fossil_contraction,Fossil contraction,0.42382271468144045,0.3240997229916898,0.5180055401662049,20000,20260904,19
renewable_addition,Renewable addition,0.7340720221606648,0.6786703601108033,0.7922437673130194,20000,20260904,19
coal_contraction,Coal contraction,0.5029239766081871,0.3888888888888889,0.6081871345029239,20000,20260904,18
unoffset_coal_contraction,Unoffset coal contraction,0.2192982456140351,0.15497076023391812,0.2865497076023391,20000,20260904,18
addition_exit_gap,Renewable-addition minus fossil-contraction gap,0.3102493074792244,0.20498614958448758,0.42105263157894735,20000,20260904,19
