specification,outcome,outcome_label,exposure,n,clusters,coefficient,standard_error_crv3,t_value,df,p_value_t_g_minus_1,ci_low,ci_high,outcome_mean,exposure_mean,wild_bootstrap_type,wild_weights,wild_reps,wild_p_value,excluded_country
Exclude ITA,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0016332149906529278,0.0010412047007384603,-1.5685820372253334,17,0.13516999160120624,-0.003829964887984207,0.0005635349066783514,0.41812865497076024,14.622502611948281,,,,,ITA
Exclude JPN,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0015300323148551881,0.0009325339103630665,-1.640725659251893,17,0.11922450758158945,-0.0034975068857970026,0.0004374422560866264,0.41228070175438597,15.357585606025355,,,,,JPN
Exclude KOR,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0018813347047546183,0.0008611150122140781,-2.1847658884930783,17,0.043198584432073306,-0.0036981285718300063,-6.454083767923032e-05,0.4269005847953216,14.791393532566616,,,,,KOR
Exclude MEX,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0012012908845554114,0.0009692939877902209,-1.2393462661355126,17,0.2320550929642609,-0.003246322439495395,0.0008437406703845724,0.4298245614035088,15.630878760135392,,,,,MEX
Exclude RUS,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0017464535539439398,0.0008987973537671763,-1.9431004626615085,17,0.06875246405000557,-0.0036427502122372895,0.00014984310434941017,0.4327485380116959,16.07506246402649,,,,,RUS
Exclude SAU,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0017168366941773818,0.0009507665443766026,-1.8057394891856182,17,0.08869764886606991,-0.0037227787603858883,0.0002891053720311249,0.4415204678362573,16.05236750974825,,,,,SAU
Exclude TUR,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0016412688539244778,0.0009921298174284305,-1.6542884057033942,17,0.11641311081570568,-0.003734479797967904,0.0004519420901189484,0.4239766081871345,15.951762923853021,,,,,TUR
Exclude USA,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0018037311387676717,0.000883601329100194,-2.041340454528834,17,0.05705439270364207,-0.003667966987497483,6.050470996213971e-05,0.41228070175438597,15.779954527940031,,,,,USA
Exclude ZAF,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0014779083375962918,0.0009694921612974608,-1.524414942786565,17,0.14579207766135846,-0.0035233580020889643,0.0005675413268963804,0.4093567251461988,15.936871378374269,,,,,ZAF
Exclude ARG,renewable_addition,Renewable addition,issuance_bp_gdp,342,18,-0.0035206798522754387,0.0006453578154976046,-5.455391982137553,17,4.275158733115818e-05,-0.004882265824688764,-0.0021590938798621137,0.7426900584795322,15.97325029709611,,,,,ARG
