specification,outcome,outcome_label,exposure,n,clusters,coefficient,standard_error_crv3,t_value,df,p_value_t_g_minus_1,ci_low,ci_high,outcome_mean,exposure_mean,wild_bootstrap_type,wild_weights,wild_reps,wild_p_value,holm_adjusted_p_secondary
Strict sign; country and year FE,fossil_contraction,Fossil contraction,issuance_bp_gdp,361,19,-0.0015560598815914362,0.00094088914136952,-1.653818513971262,18,0.11549768644403297,-0.0035327946161181267,0.00042067485293525455,0.42382271468144045,15.282921720366296,33,webb,9999.0,0.12361236123612361,
Strict sign; country and year FE,renewable_addition,Renewable addition,issuance_bp_gdp,361,19,-0.0036609572453709647,0.000637209629003736,-5.745294921382143,18,1.9066391117523693e-05,-0.004999684999198729,-0.0023222294915432005,0.7340720221606648,15.282921720366296,,,,,5.719917335257108e-05
Strict sign; country and year FE,coal_contraction,Coal contraction,issuance_bp_gdp,342,18,-0.001400700223898268,0.0008160284235980116,-1.7164846019974849,17,0.10423722675584056,-0.0031223697039601166,0.0003209692561635805,0.5029239766081871,16.05236750974825,,,,,0.20847445351168112
Strict sign; country and year FE,unoffset_coal_contraction,Unoffset coal contraction,issuance_bp_gdp,342,18,-0.0008994412717740491,0.000740327303080637,-1.2149238154952677,17,0.24100069612349537,-0.0024613953485089035,0.0006625128049608052,0.21929824561403508,16.05236750974825,,,,,0.24100069612349537
