year,countries,issuance_active_share,issuance_billion_usd,issuance_bp_gdp_mean,fossil_contraction_rate,renewable_addition_rate,coal_contraction_rate,unoffset_coal_contraction_rate
2006,19,0.0,0.0,0.0,0.2631578947368421,0.7894736842105263,0.3888888888888889,0.2222222222222222
2007,19,0.0,0.0,0.0,0.05263157894736842,0.5263157894736842,0.3333333333333333,0.05555555555555555
2008,19,0.10526315789473684,0.448148549,0.02669640991316225,0.42105263157894735,0.5789473684210527,0.6111111111111112,0.2777777777777778
2009,19,0.05263157894736842,0.61,0.022175103318623084,0.631578947368421,0.631578947368421,0.7222222222222222,0.5555555555555556
2010,19,0.10526315789473684,1.168006678,0.04372015172272379,0.10526315789473684,0.7368421052631579,0.16666666666666666,0.05555555555555555
2011,19,0.10526315789473684,0.689512556,0.0250242582345648,0.3157894736842105,0.6842105263157895,0.4444444444444444,0.05555555555555555
2012,19,0.15789473684210525,1.375693232,0.14338959528972392,0.3684210526315789,0.5789473684210527,0.3333333333333333,0.0
2013,19,0.2631578947368421,8.679237436000001,0.8882955693207562,0.5789473684210527,0.8947368421052632,0.4444444444444444,0.16666666666666666
2014,19,0.5263157894736842,17.39795254,2.591448605893232,0.42105263157894735,0.5789473684210527,0.5,0.2222222222222222
2015,19,0.5789473684210527,31.506758259,4.6222054168815045,0.5789473684210527,0.5263157894736842,0.6666666666666666,0.2777777777777778
2016,19,0.6842105263157895,62.074931638,7.1385930729677485,0.3157894736842105,0.7368421052631579,0.4444444444444444,0.05555555555555555
2017,19,0.7894736842105263,120.117221512,21.79291377270567,0.42105263157894735,0.7894736842105263,0.5,0.16666666666666666
2018,19,0.7368421052631579,87.998656998,11.925415926355086,0.5789473684210527,0.9473684210526315,0.6111111111111112,0.3888888888888889
2019,19,0.8947368421052632,158.156496985,20.763576208588148,0.631578947368421,0.7894736842105263,0.6666666666666666,0.2222222222222222
2020,19,0.9473684210526315,177.965003923,25.7700587119033,0.7894736842105263,0.9473684210526315,0.8333333333333334,0.4444444444444444
2021,19,1.0,457.01994444999997,64.33613368451404,0.21052631578947367,0.631578947368421,0.2777777777777778,0.1111111111111111
2022,19,0.9473684210526315,343.791368021,44.20831818595646,0.3684210526315789,0.8421052631578947,0.5,0.16666666666666666
2023,19,0.9473684210526315,337.697014413,42.45915303596065,0.631578947368421,0.7894736842105263,0.6666666666666666,0.5555555555555556
2024,19,0.9473684210526315,325.42405498,43.618394977434285,0.3684210526315789,0.9473684210526315,0.4444444444444444,0.16666666666666666
